"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2000","2000",2364.3,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2001","2001",2419.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2002","2002",2467.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2003","2003",2513.7,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2004","2004",2561.4,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2005","2005",2614.8,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2006","2006",2664.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2007","2007",2736.6,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2008","2008",2805.2,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2009","2009",2890.6,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",2986.7,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",3087.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",3213.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",3330.4,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",3442.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",3554.3,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",3672.3,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",3790.7,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2018","2018",3909.1,"P","Provisional value"
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2000","2000",558.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2001","2001",591.3,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2002","2002",619.9,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2003","2003",644.5,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2004","2004",668.5,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2005","2005",697,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2006","2006",720.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2007","2007",748,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2008","2008",773.2,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2009","2009",796.8,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",823.6,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",847.6,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",865.6,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",883.2,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2014","2014",901.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2015","2015",917.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2016","2016",937.8,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2017","2017",962.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUS","Australia","2018","2018",985.7,"P","Provisional value"
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2000","2000",1323.2,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2001","2001",1349.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2002","2002",1372.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2003","2003",1394.3,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2004","2004",1416.8,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2005","2005",1441.9,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2006","2006",1464,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2007","2007",1498.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2008","2008",1531.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2009","2009",1573,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2010","2010",1619.7,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2011","2011",1668.3,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2012","2012",1729.7,,
